Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=125210,2020.11.23,"11,600",500,+4.50%,"129,852","+31,597","-9,463","72,605",0.44%
https://finance.naver.com/item/frgn.nhn?code=125210,2020.11.20,"11,100",0,0.00%,"80,898","-41,440","+9,324","82,068",0.50%
https://finance.naver.com/item/frgn.nhn?code=125210,2020.11.19,"11,100",50,-0.45%,"51,430",+178,"+5,885","72,744",0.44%
https://finance.naver.com/item/frgn.nhn?code=125210,2020.11.18,"11,150",100,-0.89%,"55,268","-12,988","+5,061","66,859",0.41%
https://finance.naver.com/item/frgn.nhn?code=125210,2020.11.17,"11,250",400,-3.43%,"64,697","-11,249","-7,641","61,798",0.37%
https://finance.naver.com/item/frgn.nhn?code=006890,2020.11.23,"13,750",300,+2.23%,"1,669,087","+22,754","-3,070","57,323",0.49%
https://finance.naver.com/item/frgn.nhn?code=006890,2020.11.20,"13,450",850,+6.75%,"2,818,290",-106,"-2,065","60,393",0.52%
https://finance.naver.com/item/frgn.nhn?code=006890,2020.11.19,"12,600",50,-0.40%,"930,129","-2,259",+263,"62,458",0.54%
https://finance.naver.com/item/frgn.nhn?code=006890,2020.11.18,"12,650",350,-2.69%,"1,374,435",-249,"+6,908","62,195",0.54%
https://finance.naver.com/item/frgn.nhn?code=006890,2020.11.17,"13,000","1,350",-9.41%,"8,062,203","-11,661","-3,392","55,288",0.48%
https://finance.naver.com/item/frgn.nhn?code=297090,2020.11.23,"32,000","1,150",+3.73%,"673,893","+92,014","-28,211","1,062,433",11.09%
https://finance.naver.com/item/frgn.nhn?code=297090,2020.11.20,"30,850",650,-2.06%,"127,819","-7,707",+859,"1,090,644",11.38%
https://finance.naver.com/item/frgn.nhn?code=297090,2020.11.19,"31,500",600,-1.87%,"177,226","-7,310",-886,"1,089,785",11.38%
https://finance.naver.com/item/frgn.nhn?code=297090,2020.11.18,"32,100","1,200",+3.88%,"380,395","+22,955","-2,073","1,090,671",11.38%
https://finance.naver.com/item/frgn.nhn?code=297090,2020.11.17,"30,900",900,+3.00%,"295,736","+12,797","+2,972","1,092,744",11.41%
https://finance.naver.com/item/frgn.nhn?code=095610,2020.11.23,"30,300",50,+0.17%,"539,060","+28,074","+5,734","1,982,723",10.03%
https://finance.naver.com/item/frgn.nhn?code=095610,2020.11.20,"30,250",400,-1.31%,"445,407","-34,642","-4,396","1,976,989",10.00%
https://finance.naver.com/item/frgn.nhn?code=095610,2020.11.19,"30,650",650,+2.17%,"638,515","+38,740","+19,884","1,981,385",10.02%
https://finance.naver.com/item/frgn.nhn?code=095610,2020.11.18,"30,000",300,-0.99%,"544,740","+4,623","+38,190","1,961,501",9.92%
https://finance.naver.com/item/frgn.nhn?code=095610,2020.11.17,"30,300",300,+1.00%,"790,310","+68,157","+2,129","1,923,311",9.73%
https://finance.naver.com/item/frgn.nhn?code=042660,2020.11.23,"27,050","1,550",+6.08%,"2,202,950","+191,320","+35,906","9,801,260",9.14%
https://finance.naver.com/item/frgn.nhn?code=042660,2020.11.20,"25,500",500,+2.00%,"399,307","-16,490","+45,304","9,765,354",9.10%
https://finance.naver.com/item/frgn.nhn?code=042660,2020.11.19,"25,000",950,-3.66%,"705,184","-82,663","+8,942","9,718,786",9.06%
https://finance.naver.com/item/frgn.nhn?code=042660,2020.11.18,"25,950",700,-2.63%,"577,994","+20,526","-7,744","9,708,027",9.05%
https://finance.naver.com/item/frgn.nhn?code=042660,2020.11.17,"26,650",500,+1.91%,"1,268,831","+39,063","+5,610","9,716,956",9.06%
https://finance.naver.com/item/frgn.nhn?code=028260,2020.11.23,"122,500","1,500",+1.24%,"490,014","+20,829","+38,850","26,704,318",14.29%
https://finance.naver.com/item/frgn.nhn?code=028260,2020.11.20,"121,000","1,500",-1.22%,"371,126","-44,873","-4,934","26,665,468",14.27%
https://finance.naver.com/item/frgn.nhn?code=028260,2020.11.19,"122,500",500,-0.41%,"588,885","-11,731","+31,255","26,667,695",14.27%
https://finance.naver.com/item/frgn.nhn?code=028260,2020.11.18,"123,000","1,000",-0.81%,"494,270","+4,327","+28,187","26,632,541",14.25%
https://finance.naver.com/item/frgn.nhn?code=028260,2020.11.17,"124,000",0,0.00%,"738,461","-20,063","+69,697","26,595,358",14.23%
https://finance.naver.com/item/frgn.nhn?code=009540,2020.11.23,"102,000","6,200",+6.47%,"1,139,224","+183,955","+75,240","11,265,509",15.92%
https://finance.naver.com/item/frgn.nhn?code=009540,2020.11.20,"95,800","1,300",+1.38%,"404,577","-40,920","+2,031","11,190,269",15.81%
https://finance.naver.com/item/frgn.nhn?code=009540,2020.11.19,"94,500","4,800",-4.83%,"889,242","-160,069","-20,972","11,180,958",15.80%
https://finance.naver.com/item/frgn.nhn?code=009540,2020.11.18,"99,300",700,-0.70%,"414,861","-17,628","+34,537","11,194,290",15.82%
https://finance.naver.com/item/frgn.nhn?code=009540,2020.11.17,"100,000","1,100",+1.11%,"623,616","+60,534","-77,905","11,173,053",15.79%
https://finance.naver.com/item/frgn.nhn?code=033500,2020.11.23,"11,750",650,+5.86%,"4,600,891","+155,480","+125,407","1,239,659",4.56%
https://finance.naver.com/item/frgn.nhn?code=033500,2020.11.20,"11,100",300,+2.78%,"428,655","-2,884","-5,479","1,114,252",4.10%
https://finance.naver.com/item/frgn.nhn?code=033500,2020.11.19,"10,800",300,-2.70%,"639,720",-420,"-27,131","1,119,731",4.12%
