Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=033660,2020.05.25,"12,850",50,-0.39%,"14,511",+670,"+1,534","783,387",1.36%
https://finance.naver.com/item/frgn.nhn?code=033660,2020.05.22,"12,900",250,-1.90%,"12,508",+944,"-1,024","781,853",1.36%
https://finance.naver.com/item/frgn.nhn?code=033660,2020.05.21,"13,150",150,-1.13%,"11,018","+2,352","-3,465","783,196",1.36%
https://finance.naver.com/item/frgn.nhn?code=033660,2020.05.20,"13,300",350,+2.70%,"13,324","+3,981","-1,575","786,661",1.37%
https://finance.naver.com/item/frgn.nhn?code=033660,2020.05.19,"12,950",500,-3.72%,"76,299","+17,054","-3,930","788,236",1.37%
https://finance.naver.com/item/frgn.nhn?code=054950,2020.05.25,"37,400","4,300",+12.99%,"166,634","+16,905","-4,242","128,677",2.03%
https://finance.naver.com/item/frgn.nhn?code=054950,2020.05.22,"33,100","1,600",-4.61%,"97,836","-3,542","+10,522","132,919",2.10%
https://finance.naver.com/item/frgn.nhn?code=054950,2020.05.21,"34,700",750,-2.12%,"82,697","+5,163","-1,565","122,397",1.93%
https://finance.naver.com/item/frgn.nhn?code=054950,2020.05.20,"35,450",550,+1.58%,"150,430","+15,913","-1,969","123,962",1.96%
https://finance.naver.com/item/frgn.nhn?code=054950,2020.05.19,"34,900","1,900",+5.76%,"321,872","+21,234","-4,714","125,931",1.99%
https://finance.naver.com/item/frgn.nhn?code=069260,2020.05.25,"17,200",200,+1.18%,"89,062","+34,395","-5,381","4,610,304",11.28%
https://finance.naver.com/item/frgn.nhn?code=069260,2020.05.22,"17,000",50,-0.29%,"86,768","+23,091","-14,899","4,615,685",11.29%
https://finance.naver.com/item/frgn.nhn?code=069260,2020.05.21,"17,050",100,-0.58%,"102,243","-4,716","-26,598","4,630,584",11.33%
https://finance.naver.com/item/frgn.nhn?code=069260,2020.05.20,"17,150",200,+1.18%,"75,964","+15,528",-745,"4,656,987",11.39%
https://finance.naver.com/item/frgn.nhn?code=069260,2020.05.19,"16,950",250,+1.50%,"124,944","-18,147","-7,050","4,657,498",11.39%
https://finance.naver.com/item/frgn.nhn?code=263750,2020.05.25,"209,000","1,700",+0.82%,"51,083","+6,434","+6,863","2,600,104",19.88%
https://finance.naver.com/item/frgn.nhn?code=263750,2020.05.22,"207,300","1,400",-0.67%,"42,710",+602,"+6,050","2,593,241",19.83%
https://finance.naver.com/item/frgn.nhn?code=263750,2020.05.21,"208,700","1,100",-0.52%,"55,336","-4,655",-252,"2,587,171",19.78%
https://finance.naver.com/item/frgn.nhn?code=263750,2020.05.20,"209,800","5,900",+2.89%,"61,456","+8,861","+7,108","2,586,586",19.78%
https://finance.naver.com/item/frgn.nhn?code=263750,2020.05.19,"203,900",400,+0.20%,"62,182","-18,752","+12,152","2,578,859",19.72%
https://finance.naver.com/item/frgn.nhn?code=012510,2020.05.25,"107,500","6,500",+6.44%,"310,682","+51,256","+15,634","13,471,829",45.40%
https://finance.naver.com/item/frgn.nhn?code=012510,2020.05.22,"101,000",500,-0.49%,"191,933","+23,669","-13,074","13,456,195",45.35%
https://finance.naver.com/item/frgn.nhn?code=012510,2020.05.21,"101,500","1,000",-0.98%,"175,279","-3,148","-24,310","13,469,269",45.39%
https://finance.naver.com/item/frgn.nhn?code=012510,2020.05.20,"102,500","3,000",+3.02%,"165,822","+17,795","+19,171","13,493,579",45.47%
https://finance.naver.com/item/frgn.nhn?code=012510,2020.05.19,"99,500","2,500",-2.45%,"299,813","-64,488","+2,614","13,474,408",45.41%
